date,hour,cumulative_traffic,is_holiday
2012-10-10,0,494,0
2012-10-10,1,826,0
2012-10-10,2,1087,0
2012-10-10,3,1448,0
2012-10-10,4,3647,0
2012-10-10,5,7684,0
2012-10-10,6,13559,0
2012-10-10,7,20352,0
2012-10-10,8,26635,0
2012-10-10,9,32315,0
2012-10-10,10,36947,0
2012-10-10,11,41834,0
2012-10-10,12,46864,0
2012-10-10,13,51931,0
2012-10-10,14,57158,0
2012-10-10,15,62768,0
2012-10-10,16,69054,0
2012-10-10,17,74584,0
2012-10-10,18,79359,0
2012-10-10,19,82699,0
2012-10-10,20,85712,0
2012-10-10,21,88315,0
2012-10-10,22,90225,0
2012-10-10,23,91262,0
2012-12-25,0,803,1
2012-12-25,1,1378,1
2012-12-25,2,1730,1
2012-12-25,3,1921,1
2012-12-25,4,2046,1
2012-12-25,5,2254,1
2012-12-25,6,2686,1
2012-12-25,7,3164,1
2012-12-25,8,3806,1
2012-12-25,9,4944,1
2012-12-25,10,6731,1
2012-12-25,11,9045,1
2012-12-25,12,11594,1
2012-12-25,13,14318,1
2012-12-25,14,17057,1
2012-12-25,15,19845,1
2012-12-25,16,22783,1
2012-12-25,17,25717,1
2012-12-25,18,28661,1
2012-12-25,19,31602,1
2012-12-25,20,34397,1
2012-12-25,21,36767,1
2012-12-25,22,38525,1
2012-12-25,23,39604,1
